"GateId","FixtureId","GateName","RequiredEvidence","BlockerEvidence","Severity"
"CPB-SG-001","CPB-001","ARRAY_NORMALIZATION_REQUIRED_FOR_ZERO_ROW_COLLECTION","Script normalizes maybe-empty collections with @(...), then counts using @(...).Count.","Script counts a maybe-null or maybe-scalar collection directly.","BLOCKER"
"CPB-SG-002","CPB-002","ONE_ROW_SCALAR_MUST_BE_ARRAY_WRAPPED","One-row object output is wrapped before foreach, grouping, and count.","Script assumes one object behaves like a list without explicit array wrapping.","BLOCKER"
"CPB-SG-003","CPB-003","GROUP_OBJECT_SOURCE_MUST_BE_SAFE_LIST","Group-Object input comes from an explicitly normalized safe list.","Group-Object is applied directly to untrusted generated output.","BLOCKER"
"CPB-SG-004","CPB-004","MARKDOWN_WRITER_MUST_BE_BLANK_SAFE","Report writing uses here-string Set-Content or a writer that accepts empty strings.","Script passes bare empty strings into a line writer that can reject blank lines.","BLOCKER"
"CPB-SG-005","CPB-005","NULL_LINE_LIST_MUST_BE_CONTROLLED","Line arrays are string-cast and null-controlled before writing.","Script appends null lines or mixed objects into a writer line list.","BLOCKER"
"CPB-SG-006","CPB-006","CSV_ROWS_REQUIRE_STABLE_SCHEMA","Every CSV row is a pscustomobject with the same fields and empty strings for missing values.","CSV rows omit fields or mix object schemas.","BLOCKER"
"CPB-SG-007","CPB-007","COUNT_PROPERTY_MUST_USE_ARRAY_COUNT","Potential scalar/string/null values are counted using @(...).Count.","Script uses .Count on uncertain scalar/string/null output.","BLOCKER"
"CPB-SG-008","CPB-008","ARRAY_PARAMETERS_MUST_BE_EXPLICIT","Function parameters expecting lists declare string[] or object[] and callers pass @(...).","Function receives scalar where list is expected.","BLOCKER"
"CPB-SG-009","CPB-009","BLOCKER_COUNTS_DOMINATE_FINAL_VERDICT","Any blocker_count or issue_count above zero forces BLOCKED or REVIEW_REQUIRED verdict.","Script can print PASS while blocker_count or issue_count is above zero.","BLOCKER"
"CPB-SG-010","CPB-010","GENERATED_ROLLUP_REQUIRES_AUTHORITY_PROOF","Rollup prints source counts, unique counts, diff sets, duplicate groups, receipt hash, static gate result, and dry-run gate result.","Generated rollup is accepted as active authority without proof gates.","BLOCKER"
