SourcePath,Bytes,Extension,SHA256,SourceType,Disposition,ProofNeed,ReturnTrigger
CARD_HARVEST_LEDGER_V0_1_LONG_LIST_20260601\CARD_HARVEST_LEDGER_V0_1_LONG_LIST_20260601.md,138749,.md,3D94E68B47C59C052EAE620E3F4AEFDF40DFAF50E009558BC135F6B84D3546E9,candidate card harvest,inject as candidate support,card family breakdown before adoption,when method deck/card pull opens
CARD_HARVEST_LEDGER_V0_1_LONG_LIST_20260601\CARD_HARVEST_LEDGER_V0_1_RECEIPT_20260601.md,466,.md,A21A9D28FB1B0EEBA46CDA201ECE5BC27DA6CCEF60D4E559F9601A9403133A3A,receipt,park with source packet,receipt proves sandbox file identity only,when checking harvest hash identity
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\00_COMBO_METHOD_LAB_INDEX.md,1608,.md,4836D6D8690B33CF5E027AE4BB937E0DB1EFEA5804FDAE88FB5FC630299BFB23,candidate support,indexed and mined,source packet status boundary,when reading combo methods
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\11_C11_POKA_YOKE_FILE_EDGE_GATE_COMBO.md,1988,.md,79D9FE83579569108E30DAE2A633C493EBD20E274552F7CE93859707B7960D8F,candidate support,inject as candidate support,fixture/proof before enforcement,when file-edge prevention is needed
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\12_C12_BOWTIE_BARRIER_STOPLINE_COMBO.md,1958,.md,01A19AA034C94FABE7676CDA879BDA2ABAA36DC566F7B9B450F680993E8AF390,candidate support,inject as candidate support,barriers must map to checks,when risk barrier or stopline is needed
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\13_C13_8D_FRACAS_SCAR_LEDGER_COMBO.md,1896,.md,8FA213BB49E2112440181495247039D635CB079A7A10748BB5C5D6359E42D918,candidate support,inject as candidate support,scar ledger template needed,when recurrence memory is needed
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\14_C14_FMEA_PROOF_FIXTURE_COMBO.md,1817,.md,0FADCAE0E808A975421368E5E9DB947A80D50E1BE986D5D4F39952733CCA4B29,candidate support,inject as candidate support,fixture rows needed,when proof bench is built
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\15_C15_PDSA_SMALL_PROOF_EXPERIMENT_COMBO.md,1607,.md,F96FF11B03FB652BCBADEC95D62EFF01477117685C810B2DC56A0C7F526A016E,candidate support,park with return trigger,small-cycle proof design needed,when scaling lower-cause gate
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\16_C16_SAFETY_II_SUCCESS_PATH_CONTRAST_COMBO.md,1908,.md,2A200DF292BB5D18A36F2D5BFC1F82FC36D20B566E39EEAFEC8A6C6555B20329,candidate support,park with return trigger,convert perspective to checklist before use,when blame-free success-path contrast is needed
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\17_C17_CYNEFIN_DOMAIN_ROUTING_COMBO.md,1615,.md,27E0657D2E1B9434B398E1CC3B9999D4DDBFF99540AF30D549BC0A0EE8CE8A1C,candidate support,park with return trigger,tie domain route to actual next command,when method routing is unclear
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\18_C18_DOUBLE_LOOP_LEARNING_OBJECTIVE_REWRITE_COMBO.md,1740,.md,F1FAF59E735027390040639FB7DE9390A5DC88739C4D96D7B9AFD96B7619EE17,candidate support,inject as candidate support,helper objective rewrite proof needed,when helper did weak objective correctly
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\19_C19_BOUNDARY_OBJECT_HANDOFF_TRANSLATION_COMBO.md,1854,.md,DE997E50E40235F2A1CDB2B3530EB53F80E8027E45601E8AA3321954D9F174FB,candidate support,inject as candidate support,handoff fields must be tested by future reader,when packaging rule/handoff
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\20_C20_INFORMATION_FORAGING_SCENT_TRAIL_COMBO.md,1893,.md,2A8878E6F781BBDA796B187F3C12025B8B73BB4F429452C25E76FABAC8942599,candidate support,inject as candidate support,search keys and route map needed,when future retrieval matters
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\COMBO_METHOD_RUN_LEDGER.csv,4108,.csv,2E32D783D9F0C6D48F960119397FEEC126B5E81C1BB007FBB1EE4B1B546DC225,source ledger,indexed and parked,csv parse/use if future table work opens,when comparing combo methods
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\MANIFEST_SHA256.md,1839,.md,65168761A8AC4EB6BE22CA5534EA7A5D2248B92652369F12F4394A62109AAC24,manifest,indexed and parked,manifest is map not proof,when verifying source packet identity
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\METHOD_YIELD_RANKING.md,997,.md,466C920A3F112DD62294EA0ABA5F674F92BCCAE083629961B6876D6B4BFC305D,ranking,inject as candidate support,ranking is first-yield only,when choosing rule-build methods
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\NEXT_SYNTHESIS_CARD.md,1479,.md,3AA8FCD5199CEF523D3DCEAF67B3C41A08B10E0D52191E3337CD76EAF458B65F,synthesis,inject as candidate support,rule/fixture must be built before enforcement,when building lower-cause gate
