"ConceptId","Theme","UseHorizon","SignalText","SignalCount","SourceFileCount","SampleSources"
"CONCEPT-08253","PROOF_CUSTODY","WANT_LATER_OR_PARK","## Boundary","157","157","_LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/READ_REPORTS/SAVED_WAYFINDING_FRESH_READER_ORIENTATION_CHECK_V1.1_20260528_023251.md; _LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/ROOT_LOOSE_DOCS/LOCK_SAVE_OR_PARK_NEW_TOOLS_RULE_CARD_20260531.md; _LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/ROOT_LOOSE_DOCS/README_RUNNER_HARDENING_V1_2_1_UNIQUE.txt; _LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/ROOT_LOOSE_DOCS/README_RUNNER_HARDENING_V1_2_UNIQUE.txt; _LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/ROOT_LOOSE_SCRIPTS/READ_CODING_ROOM_TOOL_CUSTODY_REGISTRY_TRIAGE_SELECTOR_V1_UNIQUE_20260531_1055.ps1"
"CONCEPT-10715","PROOF_CUSTODY","WANT_LATER_OR_PARK","Boundary:","146","146","_LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/FAILED_SAVE_CUSTODY/ALCHEMICAL_KEY_FALSE_PASS_20260527_000351/HOUSE_WORK/INDEXES/CURRENT_HOUSE_WORK_STATUS.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/FAILED_SAVE_CUSTODY/ALCHEMICAL_KEY_FALSE_PASS_20260527_000351/PROOF_HISTORY/ALCHEMICAL_KEY_FOURFOLD_BREATH_INTAKE_RECEIPT_20260526_234838.txt; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/FAILED_SAVE_CUSTODY/ALCHEMICAL_KEY_FALSE_PASS_20260527_000351/SOURCE_ORE/SYMBOLIC_SYSTEMS/ALCHEMICAL_KEY_FOURFOLD_BREATH_SOURCE_ROOT_20260526/MANIFEST.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/CHAT_DROP_COPIES/INSTALLED/20260527_223732/CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md; _LOCAL_CUSTODY_AND_RECEIPTS/RECEIPTS/ROOT_123_USED_ASSISTANT_SAVE_SCRIPTS_ARCHIVE_RECEIPT_20260527_023037.txt"
"CONCEPT-33737","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Boundary","104","104","_MISC_DRAWER/READ_REPORTS/CODING_ROOM/CODING_ROOM_GIT_WRITE_RISK_SAVE_SCRIPT_REVIEW_WAVE_01_V1_UNIQUE_20260531_1145_20260531_073211/CODING_ROOM_GIT_WRITE_RISK_SAVE_SCRIPT_REVIEW_WAVE_01_V1_UNIQUE_20260531_1145_REPORT.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/CODING_ROOM_GIT_WRITE_RISK_SAVE_SCRIPT_REVIEW_WAVE_01_V1_UNIQUE_20260531_1145_20260531_073218/CODING_ROOM_GIT_WRITE_RISK_SAVE_SCRIPT_REVIEW_WAVE_01_V1_UNIQUE_20260531_1145_REPORT.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192339_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192340_FAKE_GIT_WRITE_FIXTURE.ps1.md"
"CONCEPT-07139","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Final verdict","93","93","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192339_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192340_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192615_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_193551_FAKE_GIT_WRITE_FIXTURE.ps1.md"
"CONCEPT-29663","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Run verdict","93","93","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192339_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192340_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192615_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_193551_FAKE_GIT_WRITE_FIXTURE.ps1.md"
"CONCEPT-31234","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Syntax verdict","93","93","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192339_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192340_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192615_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_193551_FAKE_GIT_WRITE_FIXTURE.ps1.md"
"CONCEPT-36840","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Warnings","93","93","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192339_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192340_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192615_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_193551_FAKE_GIT_WRITE_FIXTURE.ps1.md"
"CONCEPT-33441","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","# PowerShell Code Gate Runner Report V1.3","87","87","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_002418_SAVE_AND_PUSH_LOCAL_HELPER_STATUS_INDEX_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_194415_LOCK_SAVE_HOUSE_KEYRING_GRAPH_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202405_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202549_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_204626_LOCK_SAVE_CHUCK_NORRIS_PRESSURE_TEST_V1.ps1.md"
"CONCEPT-32424","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Child target status","87","87","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_002418_SAVE_AND_PUSH_LOCAL_HELPER_STATUS_INDEX_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_194415_LOCK_SAVE_HOUSE_KEYRING_GRAPH_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202405_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202549_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_204626_LOCK_SAVE_CHUCK_NORRIS_PRESSURE_TEST_V1.ps1.md"
"CONCEPT-13548","SAVE_LOCK_GIT","WANT_LATER_OR_PARK","## Target output","84","84","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_002418_SAVE_AND_PUSH_LOCAL_HELPER_STATUS_INDEX_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_194415_LOCK_SAVE_HOUSE_KEYRING_GRAPH_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202405_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202549_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_204626_LOCK_SAVE_CHUCK_NORRIS_PRESSURE_TEST_V1.ps1.md"
