"FixtureId","DefectFamily","BadPattern","RequiredPattern","ExpectedStaticVerdict","Purpose"
"CPB-001","ZERO_ROW_COLLECTION","$Rows = $null; $Rows.Count","$Rows = @($Rows); $Count = @($Rows).Count","BLOCK_BAD_PATTERN","Prevents null collection count failure."
"CPB-002","ONE_ROW_SCALAR_COLLECTION","$Rows = $OneObject; foreach ($Row in $Rows)","$Rows = @($Rows); foreach ($Row in @($Rows))","REQUIRE_ARRAY_NORMALIZATION","Prevents scalar/object confusion when one row is returned."
"CPB-003","MANY_ROW_COLLECTION","$Rows | Group-Object Field","$SafeRows = @($Rows); $Groups = @($SafeRows | Group-Object Field)","REQUIRE_SAFE_GROUP_SOURCE","Ensures grouping evidence is based on a normalized list."
"CPB-004","EMPTY_STRING_LINE_BINDING","Write-Lines -Lines """"","Use here-string Set-Content or [AllowEmptyString()][string[]]$Lines","REQUIRE_BLANK_SAFE_WRITER","Blank Markdown lines are valid content and must not crash a writer."
"CPB-005","NULL_LINE_LIST_FACTORY","$Lines += $null; Write-Lines -Lines $Lines","$Lines = @($Lines | ForEach-Object { [string]$_ })","REQUIRE_STRING_CAST_AND_NULL_CONTROL","Prevents null line-list binding errors."
"CPB-006","CSV_STABLE_FIELD_CONTRACT","Rows with omitted properties","Every [pscustomobject] row has identical property names; missing values become empty strings.","REQUIRE_STABLE_ROW_SCHEMA","Prevents CSV/report drift and missing-property evidence gaps."
"CPB-007","COUNT_PROPERTY_FAILURE","$Thing.Count when $Thing might be scalar/string/null","@($Thing).Count","REQUIRE_ARRAY_COUNT","Prevents count-property failure on generated outputs."
"CPB-008","LIST_ARRAY_ARGUMENT_TYPE_MISMATCH","Function receives scalar where list is expected","Declare [string[]] or [object[]] explicitly and call with @($Value)","REQUIRE_EXPLICIT_ARRAY_PARAMETER","Prevents argument type mismatch in generated helper functions."
"CPB-009","VERDICT_DOMINANCE","final_verdict PASS while blocker_count > 0","If blocker_count or issue_count > 0, final_verdict must be BLOCKED or REVIEW_REQUIRED.","REQUIRE_BLOCKER_DOMINANCE","Stops false PASS reports."
"CPB-010","GENERATED_ROLLUP_TRUST_GATE","Generated rollup accepted without source count, unique count, diff sets, duplicate groups, receipt, static gate, dry-run gate","Rollup authority requires source counts, unique counts, diff sets, duplicate groups, hash receipt, static contract gate, and dry-run fixture gate.","REQUIRE_ROLLUP_AUTHORITY_PROOF","Stops generated rollups from becoming active authority without proof."
