"ID","Order","Ring","RingTitle","Step","Gate","Focus","SourceBasis","Trigger","PassCondition","FailCondition","Evidence","Next","Status"
"CS-GR-001","1","R01","Order And Ring Control","01","ORDER Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","any gate ring is created, used, or placed","gates are ordered by target, authority, object, words, source, attention, relations, risk, substrate, action, proof, variation, consolidation, affected scope, verdict, receipt, and return. Ring clean result: gates are ordered before they are used.","gate order is chosen by excitement, count, or source prestige","order proof, ring index, cycle law","Active Anchor Boundary Gate","candidate support gate; not active doctrine"
"CS-GR-002","2","R01","Order And Ring Control","02","Active Anchor Boundary Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the ring might become doctrine","status stays support-only unless separately promoted with proof. Ring clean result: gates are ordered before they are used.","a support gate is treated as active guide law","ACTIVE_ANCHOR, active-guide restraint, receipt status","Not-Doctrine Placement Gate","candidate support gate; not active doctrine"
"CS-GR-003","3","R01","Order And Ring Control","03","Not-Doctrine Placement Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the ring receives a home","home is HOUSE_WORK gate ring support, not ACTIVE_GUIDES. Ring clean result: gates are ordered before they are used.","the ring rewrites active guides by side effect","path, status header, no active-guide diff","Gate Count Gate","candidate support gate; not active doctrine"
"CS-GR-004","4","R01","Order And Ring Control","04","Gate Count Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the user requested at least 500 gates","count is 500 or more and mechanically verifiable. Ring clean result: gates are ordered before they are used.","the artifact claims scale without count proof","CSV row count, ID sequence, verification command","Ring Sequence Gate","candidate support gate; not active doctrine"
"CS-GR-005","5","R01","Order And Ring Control","05","Ring Sequence Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","many rings could compete","rings move from ordering and authority through source, object, words, proof, consolidation, promotion, and handoff. Ring clean result: gates are ordered before they are used.","late-stage gates run before source or authority gates","ring order table, sequence rationale","Cycle Entry Gate","candidate support gate; not active doctrine"
"CS-GR-006","6","R01","Order And Ring Control","06","Cycle Entry Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","a task enters the ring","the live object and first ring are selected. Ring clean result: gates are ordered before they are used.","the cycle starts in the middle because a gate sounds relevant","active target and ring number","Cycle Exit Gate","candidate support gate; not active doctrine"
"CS-GR-007","7","R01","Order And Ring Control","07","Cycle Exit Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","a ring finishes","the next ring or clean stop is named. Ring clean result: gates are ordered before they are used.","output drifts with no return path","issue footer, next ring pointer","No Pile Gate","candidate support gate; not active doctrine"
"CS-GR-008","8","R01","Order And Ring Control","08","No Pile Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","gate count creates bloat risk","each gate has trigger, pass, fail, evidence, and next field. Ring clean result: gates are ordered before they are used.","a list of names pretends to be gates","gate row fields, CSV schema","All Evidence Scope Gate","candidate support gate; not active doctrine"
"CS-GR-009","9","R01","Order And Ring Control","09","All Evidence Scope Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","sources are pulled together","source stack is named and bounded to relevant evidence. Ring clean result: gates are ordered before they are used.","the assistant claims all evidence while skipping known source lanes","source evidence index","Evidence Not Authority Gate","candidate support gate; not active doctrine"
"CS-GR-010","10","R01","Order And Ring Control","10","Evidence Not Authority Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","source notes, transcripts, or concepts are used","evidence informs gates without commanding them. Ring clean result: gates are ordered before they are used.","transcript language or source ore becomes instruction authority","source disposition and dirty import block","Right Order Proof Gate","candidate support gate; not active doctrine"
"CS-GR-011","11","R01","Order And Ring Control","11","Right Order Proof Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the gate ring is saved","order proof explains why this sequence is clean. Ring clean result: gates are ordered before they are used.","the ring is large but unordered","ORDER_PROOF_AND_CYCLE.md","Duplicate Collision Gate","candidate support gate; not active doctrine"
"CS-GR-012","12","R01","Order And Ring Control","12","Duplicate Collision Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","two gates overlap","distinct jobs are named or Consolidator handles overlap. Ring clean result: gates are ordered before they are used.","duplicate gates quietly split authority","overlap field, consolidator label","Required Ring Presence Gate","candidate support gate; not active doctrine"
"CS-GR-013","13","R01","Order And Ring Control","13","Required Ring Presence Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the ring is verified","ORDER, CONSOLIDATOR, and FINAL JUDGE rings are present. Ring clean result: gates are ordered before they are used.","critical control rings are missing","ring list and grep check","Consolidator Presence Gate","candidate support gate; not active doctrine"
"CS-GR-014","14","R01","Order And Ring Control","14","Consolidator Presence Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","overlap or packing pressure appears","Consolidator ring exists and is placed after proof-producing rings. Ring clean result: gates are ordered before they are used.","consolidation happens before evidence","ring index, consolidator ring rows","Guardrail Presence Gate","candidate support gate; not active doctrine"
"CS-GR-015","15","R01","Order And Ring Control","15","Guardrail Presence Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","dirty sources or influence concepts are present","dirty import, coercion, hypnosis-script, and doctrine-promotion blocks are visible. Ring clean result: gates are ordered before they are used.","dangerous or mystical imports are left unblocked","scope file, source disposition, blocked-use lines","Count Receipt Gate","candidate support gate; not active doctrine"
"CS-GR-016","16","R01","Order And Ring Control","16","Count Receipt Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","the ring is closed","receipt records gate count, files, hashes, guardrails, and repo status. Ring clean result: gates are ordered before they are used.","large artifact closes without evidence","receipt and verification output","Return To Target Gate","candidate support gate; not active doctrine"
"CS-GR-017","17","R01","Order And Ring Control","17","Return To Target Gate","the master gate ring itself","active guide cycle law, user 500-gate request, order proof requirement","ORDER ring closes","the next ring starts at authority and source custody. Ring clean result: gates are ordered before they are used.","order control becomes an endless planning loop","next-ring pointer","next ring","candidate support gate; not active doctrine"
"CS-GR-018","18","R02","Active Anchor And Authority","01","Trigger Recognition Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a signal enters this ring","the signal is named before action. Ring clean result: support gates stay inside the approved boundary.","the ring starts from mood, speed, or vague pressure","user request, file path, source note, command output, or prior receipt","Authority Scope Gate","candidate support gate; not active doctrine"
"CS-GR-019","19","R02","Active Anchor And Authority","02","Authority Scope Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","the ring might touch rules, files, or status","authority, allowed touch, and blocked touch are named. Ring clean result: support gates stay inside the approved boundary.","source ore, chat, or support notes become boss by proximity","ACTIVE_ANCHOR, active guide boundary, user request, AGENTS boundary","Object Identity Gate","candidate support gate; not active doctrine"
"CS-GR-020","20","R02","Active Anchor And Authority","03","Object Identity Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","an item must be judged","object type and status are named. Ring clean result: support gates stay inside the approved boundary.","the item is handled before anyone knows whether it is source, proof, rule, TODO, receipt, or gate","file role, folder, status line, source disposition, receipt","Placement Home Gate","candidate support gate; not active doctrine"
"CS-GR-021","21","R02","Active Anchor And Authority","04","Placement Home Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","the object needs a house lane","home lane is named before save, merge, park, or close. Ring clean result: support gates stay inside the approved boundary.","a mystery file, loose note, or floating gate remains","path, lane role, manifest, source custody, parking lane","Word Key Gate","candidate support gate; not active doctrine"
"CS-GR-022","22","R02","Active Anchor And Authority","05","Word Key Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","wording can route behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: support gates stay inside the approved boundary.","labels sound clean but open the wrong door","term list, title, verdict word, route word, status word","Source Provenance Gate","candidate support gate; not active doctrine"
"CS-GR-023","23","R02","Active Anchor And Authority","06","Source Provenance Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","evidence or concept is imported","source, activity, actor/tool, evidence, and derived decision are visible. Ring clean result: support gates stay inside the approved boundary.","a concept is used with no custody trail or how-found chain","source index, provenance passport, hash, citation, transcript path","Attention Salience Gate","candidate support gate; not active doctrine"
"CS-GR-024","24","R02","Active Anchor And Authority","07","Attention Salience Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","too many signals compete","active focus and blocked side routes are visible. Ring clean result: support gates stay inside the approved boundary.","everything remains equally loud and the route drifts","active target, side-route list, load state, user correction","Relation Edge Gate","candidate support gate; not active doctrine"
"CS-GR-025","25","R02","Active Anchor And Authority","08","Relation Edge Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","two items seem connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return. Ring clean result: support gates stay inside the approved boundary.","similarity is mistaken for relationship","relation table, graph note, source map, issue map","Risk Dirty-Milk Gate","candidate support gate; not active doctrine"
"CS-GR-026","26","R02","Active Anchor And Authority","09","Risk Dirty-Milk Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","motion could carry bad material forward","dirty conditions, risk severity, and quarantine path are named. Ring clean result: support gates stay inside the approved boundary.","dirty milk is carried because it looks useful","risk note, dirty-tree status, security watch, conflict signal","Substrate Tool Gate","candidate support gate; not active doctrine"
"CS-GR-027","27","R02","Active Anchor And Authority","10","Substrate Tool Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a tool or method is chosen","tool matches phenomenon: shell for file truth, source ledger for research, map for relations, test for behavior. Ring clean result: support gates stay inside the approved boundary.","a bigger or flashier tool substitutes for the right substrate","command output, source ledger, test result, map, receipt","Action Exit Gate","candidate support gate; not active doctrine"
"CS-GR-028","28","R02","Active Anchor And Authority","11","Action Exit Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","the ring is about to move","allowed exits close by proof, not explanation. Ring clean result: support gates stay inside the approved boundary.","the system exits by sounding resolved","named action, proof closure, blocked narration exit","Proof Evidence Gate","candidate support gate; not active doctrine"
"CS-GR-029","29","R02","Active Anchor And Authority","12","Proof Evidence Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a claim needs trust","claim touches visible evidence. Ring clean result: support gates stay inside the approved boundary.","PASS is claimed from confidence, tone, or authority","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; not active doctrine"
"CS-GR-030","30","R02","Active Anchor And Authority","13","Variation Stability Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a gate seems good","small wording, file order, or context changes do not break the route. Ring clean result: support gates stay inside the approved boundary.","the gate only works in the exact wording that inspired it","counterexample, perturbation check, repeated run, disproof condition","Consolidation Fit Gate","candidate support gate; not active doctrine"
"CS-GR-031","31","R02","Active Anchor And Authority","14","Consolidation Fit Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","overlap appears","KEEP SEPARATE, MOVE LOGIC, PACK TOGETHER, PARK, REJECT, or WATCH AGAIN is chosen with reason. Ring clean result: support gates stay inside the approved boundary.","overlap becomes a broad merge or another loose gate pile","three-signal check, overlap note, risk if merged, risk if separate","Affected Scope Gate","candidate support gate; not active doctrine"
"CS-GR-032","32","R02","Active Anchor And Authority","15","Affected Scope Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a new gate changes neighboring work","affected files, lanes, receipts, maps, and next tasks are statused. Ring clean result: support gates stay inside the approved boundary.","a clean-looking gate leaves stale neighbors","affected-area map, partner sync, no-blind-move check","Verdict Status Gate","candidate support gate; not active doctrine"
"CS-GR-033","33","R02","Active Anchor And Authority","16","Verdict Status Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, PROMOTED, or RETIRED matches evidence. Ring clean result: support gates stay inside the approved boundary.","status words exaggerate the proof","verdict line, proof burden, open guardrail","Return Closure Gate","candidate support gate; not active doctrine"
"CS-GR-034","34","R02","Active Anchor And Authority","17","Return Closure Gate","authority, status, and blocked moves","ACTIVE_ANCHOR, CURRENT_TRUTH_INDEX, AGENTS, active guides","the ring needs to close","next state circles back to the active target and names release or return trigger. Ring clean result: support gates stay inside the approved boundary.","the ring leaves active weight, no close condition, or no next move","receipt, closeout, issue-status footer, next anchor","next ring or clean stop","candidate support gate; not active doctrine"
"CS-GR-035","35","R03","Source Custody And Root Drops","01","Trigger Recognition Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a signal enters this ring","the signal is named before action. Ring clean result: raw source is preserved before extraction.","the ring starts from mood, speed, or vague pressure","user request, file path, source note, command output, or prior receipt","Authority Scope Gate","candidate support gate; not active doctrine"
"CS-GR-036","36","R03","Source Custody And Root Drops","02","Authority Scope Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","the ring might touch rules, files, or status","authority, allowed touch, and blocked touch are named. Ring clean result: raw source is preserved before extraction.","source ore, chat, or support notes become boss by proximity","ACTIVE_ANCHOR, active guide boundary, user request, AGENTS boundary","Object Identity Gate","candidate support gate; not active doctrine"
"CS-GR-037","37","R03","Source Custody And Root Drops","03","Object Identity Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","an item must be judged","object type and status are named. Ring clean result: raw source is preserved before extraction.","the item is handled before anyone knows whether it is source, proof, rule, TODO, receipt, or gate","file role, folder, status line, source disposition, receipt","Placement Home Gate","candidate support gate; not active doctrine"
"CS-GR-038","38","R03","Source Custody And Root Drops","04","Placement Home Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","the object needs a house lane","home lane is named before save, merge, park, or close. Ring clean result: raw source is preserved before extraction.","a mystery file, loose note, or floating gate remains","path, lane role, manifest, source custody, parking lane","Word Key Gate","candidate support gate; not active doctrine"
"CS-GR-039","39","R03","Source Custody And Root Drops","05","Word Key Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","wording can route behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: raw source is preserved before extraction.","labels sound clean but open the wrong door","term list, title, verdict word, route word, status word","Source Provenance Gate","candidate support gate; not active doctrine"
