JOJI 88 UNIVERSAL METHOD TABLE AND MASTER SEAT DISCOVERY DRAFT
Created: 2026-05-16
Status: DISCOVERY / PLACEMENT DRAFT ONLY
Authority status: NOT ACTIVE DOCTRINE; NOT CURRENT TRUTH; NOT FINAL PASS
Work root: C:\Users\13527\Desktop\Clean Milk not-BLOAT
Source digest: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
Source digest SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
Current truth index read first: C:\Users\13527\Desktop\Clean Milk not-BLOAT\CURRENT_TRUTH_INDEX.txt
Current patch ID observed in CURRENT_TRUTH_INDEX.txt: CLEAN_SEED_PATCH_COMMAND_MAP_HOUSEKEEPING_LOCK

READING KEY
- EVIDENCE = directly stated in the named source file or directly observed in the inspected file lane.
- INFERENCE = a provisional working judgment from the evidence, made for discovery only.
- UNKNOWN = not established in this pass.
- Row fields sourced directly from the digest are EVIDENCE when copied from the digest.
- Row fields that classify, relate, score, or propose are INFERENCE unless explicitly marked UNKNOWN.

============================================================
SECTION 1 - SOURCE INTAKE

EVIDENCE:
- Source file exists: YES.
- Source path: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
- Source SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
- Source says numbered heading count is 88: YES.
- Group 1 present: Real-World Method Lenses, count 51.
- Group 2 present: Corrected Station Order, count 13.
- Group 3 present: Core Preservation / Control Concepts, count 10.
- Group 4 present: Minimum Operating Anchors, count 8.
- Group 5 present: Small Front-Door Pieces, count 6.
- Source status is proof-history-only: YES.
- Source install status is NOT ACTIVE DOCTRINE.
- Source boundary says it does not edit ACTIVE_GUIDES or CURRENT_TRUTH_INDEX and does not authorize cleanup, deletion, movement, overwrite, folder creation, promotion, or final PASS.
- ACTIVE_GUIDES edit during this task: NO.
- CURRENT_TRUTH_INDEX edit during this task: NO.
- Cleanup during this task: NO.
- Git action during this task: NO.
- SOURCE_PARSE_GAP: NO.

INFERENCE:
- The source digest is suitable as an ore body for discovery because it is bounded, counted, and self-declared as proof-history-only rather than active truth.

UNKNOWN:
- Whether the separate larger "180-item file" mentioned by the digest still exists was not inspected because it was not needed for the approved active target.

============================================================
SECTION 2 - SOURCE 88 METHOD TABLE

FIELD ORDER FOR EVERY ROW
ID | Source group | Source heading | Source line reference if available | Clean Seed use from source | Rule extracted from source | Plain meaning | Problem it helps solve | What it helps find | Likely station | Candidate role | Evidence needed | What it protects | Risk if missing | Risk if overused | Possible parent | Possible children | Possible cousins | Possible bridge links | Master-seat candidate? | Reason | Notes

S001 | Group 1 Real-World Method Lenses | Intelligence cycle | L132 | AUTHORITY, CAPTURE, INVENTORY, JUDGE, REVIEW / HANDOFF, CONTINUE | Do not analyze before the collection requirement and proof boundary are known. | Decide the question and evidence boundary before reasoning. | Premature analysis. | Missing scope and proof requirement. | AUTHORITY | parent method | Requirement record plus evidence boundary. | Source discipline. | Wandering review. | Planning without acting. | S052 | S054,S055,S058,S063 | S051,S050 | A088,A090 | yes | It governs the whole route before downstream work begins. | INFERENCE: strong parent and possible master.
S002 | Group 1 Real-World Method Lenses | Crime-scene preservation | L149 | FREEZE and CAPTURE / COLLECT | Freeze before inventory, sorting, judgment, cleanup, deletion, movement, overwrite, rename, or promotion. | Preserve the scene before touching it. | Evidence disturbance. | Original state. | FREEZE | evidence method | Before-state capture. | Untouched proof. | Lost evidence. | Paralysis if freezing never ends. | S004 | S055,S056 | S025 | S068,A019 | maybe | It protects truth early but depends on authority. | EVIDENCE for rule; INFERENCE for role.
S003 | Group 1 Real-World Method Lenses | Chain of custody | L166 | CAPTURE, SAVE, SEAL, REVIEW | No proof, no authority jump. | Evidence must stay traceable through handling. | Hidden swaps and false proof. | Who handled what, when. | CAPTURE / SAVE / SEAL | evidence method | Custody record. | Evidence integrity. | False promotion. | Heavy ceremony for low-risk material. | S065 | S029,S032 | A084,A047 | S067,S071 | yes | It is prerequisite for trustworthy proof flow. | EVIDENCE for rule; INFERENCE for master fit.
S004 | Group 1 Real-World Method Lenses | Forensic imaging | L184 | FREEZE and CAPTURE / COLLECT | Capture before structure; structure before judgment. | Make a faithful copy before reorganizing. | Review destroys source state. | Before-state image. | FREEZE / CAPTURE | child method | Hash or image proof. | Rollback and source state. | No reliable reconstruction. | Copying everything without need. | S002 | S029 | A019,A084 | S003 | no | Strong child, not route-level control. | INFERENCE.
S005 | Group 1 Real-World Method Lenses | Digital forensics triage | L200 | Optional lens inside JUDGE, not mandatory station. | Triage is a risk lens, not a new boss. | Prioritize without promoting triage into authority. | Urgent work swallows the system. | Highest-risk evidence first. | JUDGE | optional special lens | Risk trigger record. | Route integrity. | Critical items buried. | Endless urgency theater. | S070 | S014 | A057 | S057 | no | Explicitly optional in source. | EVIDENCE.
S006 | Group 1 Real-World Method Lenses | Lab accessioning | L216 | INVENTORY | Inventory turns captured evidence into structured identity. | Give each item a stable intake identity. | Anonymous objects. | What exists. | INVENTORY | evidence method | Item register. | Findability. | Lost items and duplicates. | Over-cataloging trivial items. | S055 | S035 | A080 | S067 | maybe | Identity is foundational but not sufficient alone. | INFERENCE.
S007 | Group 1 Real-World Method Lenses | Lab notebook / electronic lab notebook | L235 | SAVE and SEAL | Observation is not judgment; judgment is not action. | Record what happened without smuggling verdict or action into the note. | Mixed notes. | Observation trail. | SAVE / SEAL | evidence method | Timestamped notes. | Separation of states. | Memory drift. | Note-taking becomes substitute for progress. | S065 | S029 | A088 | S067 | maybe | It preserves evidentiary clarity. | INFERENCE.
S008 | Group 1 Real-World Method Lenses | Scientific method | L252 | JUDGE and CONTINUE | A good idea is a hypothesis until proof and gate acceptance exist. | Treat claims as testable until proven. | Vibe-based truth. | Testable claim. | JUDGE | parent method | Hypothesis, test, result. | Truth quality. | Premature belief. | Over-testing obvious low-risk matters. | S001 | A021,A025 | S009,S010 | S057 | maybe | Broad parent, but it does not by itself control authority. | INFERENCE.
S009 | Group 1 Real-World Method Lenses | Experimental controls | L268 | Old/new comparison and REVIEW | Do not judge a new candidate without the current/old source in view. | Compare change against a baseline. | Confusing novelty with improvement. | Difference caused by change. | JUDGE / REVIEW | evidence method | Baseline and comparator. | Causal clarity. | False wins. | Blocks exploratory work if demanded too early. | S008 | A020,A026 | A028 | S057 | maybe | Needed for fair judgment. | INFERENCE.
