"Topic","Contributions","CandidateNeed","DominantStatus"
"wording-learning","16735","GATE_WORDING_LEARNING_GATE","CANDIDATE_ADD"
"proof","8980","PROOF_TOUCH_GATE","WATCH"
"recursion","7910","RECURSION_POSITION_AND_RETURN_GATE","PASS_WITH_GUARDRAILS"
"order","6460","ORDER_ROOM_TRUE_ORDER_GATE","PASS_WITH_GUARDRAILS"
"source-custody","6285","SOURCE_FAMILY_WEIGHT_GATE","PASS_WITH_GUARDRAILS"
"parking","3585","PARKING_RETURN_TRIGGER_GATE","WATCH"
"awareness-alarm","795","AWARENESS_ALARM_OBJECT_CLUSTER_GATE","CANDIDATE_ADD"
"risk-boundary","90","DIRTY_IMPORT_BOUNDARY_GATE","PASS_WITH_GUARDRAILS"
"save-boundary","70","LOCAL_AND_GIT_SAVE_AFTER_VERIFY_GATE","PASS_WITH_GUARDRAILS"
"gate-birth","5","DEFINED_GATE_BIRTH_CRUNCH_GATE","CANDIDATE_ADD"
