MethodKey,Source,UseAs,JoinsTo,JoinReason,DoesNotAuthorize,NextProof
JOIN-001,"BRAIN_LEARNING/INTAKE_GATE_SYSTEM_CONCEPT_CARD_V1_20260530.md","selected-object washer","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Provides gate stack and no-broad-crawl boundary.","Scripted intake helper, doctrine, whole-house crawl.","Manual three-bite replay."
JOIN-002,"BRAIN_LEARNING/LIVING_INTAKE_PROTOCOL_STACK_V4_TRUE_PATHING_CANDIDATE_20260530.md","protocol stack lens","INTAKE_GATE_THREE_BITE_REPLAY_QUEUE_20260531.csv","Separates lower-layer route failures from upper-object value.","Promotion before proof.","Three bite test with current objects."
JOIN-003,"BRAIN_LEARNING/INTAKE_KEY_CODE_WORKING_RULES_CONDENSED_20260530.md","key/hash movement rule","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Key means lookup and route, not run now.","Automatic dispatch.","Use key/route fields in candidate front-door packet."
JOIN-004,"HOUSE_WORK/WORK_SHED/GEAR_RACK/CHECK_INTAKE_GATE_KEY_HASH_JOIN_V1_1_20260530.ps1","read/report audit tool","INTAKE_GATE_HOUSE_RUN_REPORT_20260531.md","Supplies measured gate verdict and finding fields.","Git write, cleanup, repair approval.","Re-run after bounded repair rows only."
JOIN-005,"HOUSE_WORK/SYSTEM_ALIGNMENT_ROOM/ROOT_SOURCE_INTAKE_AND_HASH_TUNNEL_20260531/README.md","visible root-source intake example","OLD_HISTORY_PATTERN_LINK_LEDGER_20260531.csv","Shows root/source parking with hashes, tunnel map, and return triggers.","Root cleanup or source movement.","Replay root mule row through routine."
JOIN-006,"HOUSE_WORK/SYSTEM_ALIGNMENT_ROOM/ASSISTANT_CONTEXT_CARRIER_20260531/README.md","need-to-know context carrier","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Keeps helper burden low through compact current context.","Replacing active authority files.","Use carrier before outside/helper handoff."
JOIN-007,"HOUSE_WORK/TODO/CLAIM_CAPABILITY_FRONT_DOOR_WIRING_NEXT_WORK_20260531.md","current next bite","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Front Door wiring is the place to make claim/capability/routine legality explicit.","Skipping Claim + Capability work.","Use routine as candidate input, not final design."
JOIN-008,"BRAIN_LEARNING/RULE_APPLICATION_GATE_POWER_PLAY_20260518.md","rule-fire history lesson","OLD_HISTORY_PATTERN_LINK_LEDGER_20260531.csv","Rules must fire at decision points, not sit as ideas.","Mass rewriting rules.","Add fire-at-decision check to routine."
JOIN-009,"BRAIN_LEARNING/SWIFT_SCAN_LIVING_SYSTEM_V1_20260530.md","WIP and proof saturation support","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","One active object and one pointer prevents routine bloat.","Broad audit momentum.","Use as load limiter."
JOIN-010,"BRAIN_LEARNING/HELPER_GROWTH_REPORT_QUALITY_GATE_RULE_20260530.md","helper report contract","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Helper output must carry proof, boundary, handoff, and reopen trigger.","Helper crown authority.","Assay helper output in Bite 2."
JOIN-011,"BRAIN_LEARNING/GENERATED_HELPER_SHAPE_CONTRACT_GATE_RULE_20260531.md","lower-layer helper scar guard","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Separates helper/tool shape failures from upper-object judgment.","Broad helper rewrite.","Assay proof/script object in Bite 3."
JOIN-012,"HOUSE_WORK/TOOLS/Invoke-DailyHouseWalkDigestGate.ps1","contact timing gate","INTAKE_GATE_HOUSE_RUN_REPORT_20260531.md","Supplies due/missed/satisfied signal without timer or watcher.","Running a second save thread during dirty active work.","Run digest separately when selected or when current pass closes."
JOIN-013,"https://www.w3.org/TR/prov-dm/","provenance model key","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Entity/activity/agent/derivation relations strengthen custody and helper movement records.","Replacing house authority with web standard.","Use entity/activity/agent fields in next helper handoff."
JOIN-014,"https://www.nist.gov/publications/zero-trust-architecture-0","zero-trust verification key","INVERSION_GUARD_LEDGER_20260531.csv","No trust by location supports source/report/helper/currentness inversion guards.","Security doctrine import or automation.","Use zero-trust check in receiver assay."
JOIN-015,"https://kanban.university/kanban-guide/","WIP and explicit-policy key","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","WIP limits and explicit policies support one active object and visible allowed/blocked moves.","Kanban board rebuild.","Use WIP limits in triple-pass closeout."
JOIN-016,"https://www.nasa.gov/reference/2-0-fundamentals-of-systems-engineering/","systems relation key","TRIPLE_PASS_WALLS_WALK_20260531.md","Systems engineering stresses relations among parts, matching neighbor/walls walk.","NASA process as house process.","Use relation check before promotion."
JOIN-017,"https://link.springer.com/article/10.1007/s10648-019-09465-5","cognitive-load key","HELPER_ROUTINE_LOOP_CANDIDATE_V1_20260531.md","Working-memory limits support carrying keys and receipts instead of whole history.","Turning learning theory into doctrine.","Use cognitive offload check in helper routine."
JOIN-018,"https://www.trngcmd.marines.mil/Portals/207/Docs/TBS/B2B0237XQ%20Decision%20Making.pdf","OODA feedback/orientation key","TRIPLE_PASS_UPSIDE_DOWN_WALK_20260531.md","Observe/orient/decide/act and wargaming friction points support feedback and upside-down pass.","Military doctrine import.","Use orientation reset between pass waves."
JOIN-019,"https://www.martinfowler.com/eaaDev/EventSourcing.html","event trail key","INTAKE_GATE_HOUSE_ROUTINE_RECEIPT_20260531.md","Event-sourcing idea supports receipt/event trail for reconstructable movement.","Building event database.","Use receipt rows for state-changing moves."
