"ConceptId","Theme","UseHorizon","SignalText","SignalCount","SourceFileCount","SampleSources"
"CONCEPT-03701","HELPER_GROWTH","USE_NOW_OR_ENFORCE","## Driver Rule","32","32","_LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/CRAWL_INDEX.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/EVENTS/WORK_EVENT_0001.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/FINAL_PACKET.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/INCIDENTS/CENTRAL_INCIDENT_RECORD.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/MAPS/WORK_PART_DRIVER_MAP.md"
"CONCEPT-01999","KEY_LEDGER_MAP_REGISTRY","USE_NOW_OR_ENFORCE","WorkKey: LIVING-OBJECT-REGISTRY-V2-FIRST-WAVE-BOUNDED-REPAIR-20260530-V1","24","24","_MISC_DRAWER/READ_REPORTS/POST_SAVE_CLOSEOUT_AND_NEXT_ROUTE_V1_UNIQUE_20260531_0845/20260531_061144/POST_SAVE_CLOSEOUT_AND_NEXT_ROUTE_REPORT_V1_UNIQUE_20260531_0845_20260531_061144.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_CONTEXT_HANDOFF_BALANCE_RULE_20260530.md"
"CONCEPT-20563","GENERAL_IDEA","USE_NOW_OR_ENFORCE","## Rule","22","22","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ACTIVE_OBJECT_RELEASE_AND_SIGNAL_DISCIPLINE_RULE_20260524.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/BRANCH_JOIN_BACK_VINE_GROWTH_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/CANDIDATE_SELECTION_GATE_DIRTY_BRIDGE_REJECTION_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/EXISTING_STRUCTURE_INSPECTION_BEFORE_INVENTION_GATE_20260524.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/EXPOSURE_TRIGGERS_POWERPLAY_CRIME_SCENE_RULE_20260530.md"
"CONCEPT-38655","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","- What this hash proves: the bounded pre-repair target state for this packet.","22","22","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ASSISTANT_DOOR_RELAY_LOCAL_MANUAL_INTAKE_RULE_20260521_132918.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/KEY_HASH_WORK_IDENTITY_LEDGER_MAP_NAMING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/LOWER_LAYER_SAVE_ROUTE_HARNESS_ROOT_REPAIR_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ROOT_DROP_HASH_KEY_INTAKE_RULE_20260530.md"
"CONCEPT-41296","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","## Rule","22","22","_LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/ROOT_LOOSE_DOCS/06_TOOL_REGISTRY_AND_RETIREMENT_SPEC.md; _MISC_DRAWER/READ_REPORTS/WORD_WASH_BASE_WORD_PROOF_TRIAL_20260530_041238.md; _MISC_DRAWER/READ_REPORTS/WORD_WASH_BASE_WORD_PROOF_TRIAL_20260530_041723.md; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_HASH_KEY_FRONT_GATE_HELPER_PACKET_ROUTER_V1.1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_HASH_KEY_FRONT_GATE_HELPER_PACKET_ROUTER_V1.2.ps1"
"CONCEPT-37581","KEY_LEDGER_MAP_REGISTRY","USE_NOW_OR_ENFORCE","## Living Object Registry V2 — First-Wave Bounded Repair Note","21","21","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_CONTEXT_HANDOFF_BALANCE_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_SAVE_CONTENT_VALIDATION_AND_ISSUE_LEARNING_RULE_20260529.md"
"CONCEPT-23456","SAVE_LOCK_GIT","USE_NOW_OR_ENFORCE","XxXxX ===== COPY BLOCK TO CHAT END ===== XxXxX","21","21","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_194415_LOCK_SAVE_HOUSE_KEYRING_GRAPH_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202405_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202549_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_205017_REPAIR_LOCK_SAVE_CHUCK_NORRIS_PRESSURE_TEST_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210028_LOCK_SAVE_SOURCE_TO_HOUSE_COMPARISON_LAYER_ADDENDUM_V1.ps1.md"
"CONCEPT-33990","SAVE_LOCK_GIT","USE_NOW_OR_ENFORCE","XxXxX ===== COPY BLOCK TO CHAT START ===== XxXxX","21","21","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_194415_LOCK_SAVE_HOUSE_KEYRING_GRAPH_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202405_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_202549_LOCK_SAVE_SOURCE_WASH_FIT_DECISION_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_205017_REPAIR_LOCK_SAVE_CHUCK_NORRIS_PRESSURE_TEST_V1.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210028_LOCK_SAVE_SOURCE_TO_HOUSE_COMPARISON_LAYER_ADDENDUM_V1.ps1.md"
"CONCEPT-18312","SAVE_LOCK_GIT","USE_NOW_OR_ENFORCE","## Rule","18","18","_TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_AND_ROTATE_CHAT_DROP_CURRENT_LOAD_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_GEAR_CHANGE_CLOSEOUT_SUIT_REFRESH_RULE_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_HELPER_LIVING_MEMORY_LEDGER_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1.1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1.2.ps1"
"CONCEPT-09321","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","- Repair only this named audit gap by adding contract/route/proof/return metadata.","16","16","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HASH_KEY_FRONT_GATE_HELPER_PACKET_ROUTER_RULE_20260529.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md; Jxhnny_Kl33N_Seedz/COMMAND_CENTER/CHILD_SHELL/HELPERS/HELPER_READ_CHILD_SHELL_STATUS_SUMMARY_LEVEL2.ps1"
