FixtureId,FixtureGroup,InputPhrase,ClaimForce,ProofScope,CapabilityNeeded,CapabilityState,ReturnContract,ReceiverAssay,ExpectedVerdict,ExpectedDisposition,Organs
CLM-001,CLAIM,nxt,ACTION_REQUEST,NONE,NONE,NOT_NEEDED,NONE,NOT_NEEDED,ACTION_REQUEST_ONLY,CONTINUE_WITH_SCOPE,claim force;surface;lifecycle
CLM-002,CLAIM,dropped,STATE_REPORT,USER_REPORT_ONLY,READ_EXACT_OBJECT,PROOF_MISSING,STATE_EVIDENCE_REQUIRED,REQUIRED,USER_REPORTED_STATE_ONLY,ASK_OR_CHECK_EVIDENCE,claim force;truth state;proof scope
CLM-003,CLAIM,helper passed,STATUS_CLAIM,HELPER_OUTPUT_ONLY,RECEIVER_ASSAY,RECEIVER_ASSAY_REQUIRED,JOB_CRITERIA_REQUIRED,REQUIRED,SPLIT_REQUIRED_RECEIVER_ASSAY,DO_NOT_ACCEPT_SELF_PASS,claim force;receiver assay;authority
CLM-004,CLAIM,hash proves it,PROOF_CLAIM,CUSTODY_ONLY,HASH_EXACT_OBJECT,EXACT_LOW_RISK_READY,CUSTODY_SCOPE_REQUIRED,REQUIRED,CUSTODY_ONLY,DO_NOT_INFER_QUALITY,proof scope;capability;receiver assay
CLM-005,CLAIM,source says rule,AUTHORITY_CLAIM,SOURCE_ORE_ONLY,SOURCE_REVIEW,FINAL_JUDGE_REQUIRED,RULE_PROMOTION_CONTRACT_REQUIRED,REQUIRED,SOURCE_ORE_ONLY_FINAL_JUDGE_REQUIRED,PARK_AS_SOURCE,authority;proof scope;Final Judge
CLM-006,CLAIM,pattern triggered,TRIGGER_CLAIM,FIRST_CHECK_ONLY,PATTERN_REVIEW,PROOF_MISSING,TRIGGER_SCOPE_REQUIRED,REQUIRED,FIRST_CHECK_ONLY,DO_NOT_COMMAND_FROM_PATTERN,claim force;inference;truth state
CLM-007,CLAIM,report exists,EXISTENCE_CLAIM,OUTPUT_EXISTS_ONLY,READ_REPORT,EXACT_LOW_RISK_READY,REPORT_SCOPE_REQUIRED,REQUIRED,OUTPUT_EXISTS_ONLY,DO_NOT_ACCEPT_AS_PASS,proof scope;receiver assay;sink
CLM-008,CLAIM,Git clean,STATE_CLAIM,REPO_STATUS_ONLY,GIT_STATUS_READ,EXACT_LOW_RISK_READY,REPO_SCOPE_REQUIRED,REQUIRED,REPO_STATUS_ONLY,DO_NOT_INFER_HOUSE_CLEAN,truth state;proof scope;surface
CLM-009,CLAIM,ready,READINESS_CLAIM,UNSCOPED,NONE,PROOF_MISSING,OBJECT_SCOPE_REQUIRED,REQUIRED,READY_FOR_WHAT_SPLIT,ASK_READY_FOR_WHAT,lifecycle;commitment;defeater
CLM-010,CLAIM,make this a rule,PROMOTION_REQUEST,AUTHORITY_BEARING,FINAL_JUDGE,FINAL_JUDGE_REQUIRED,PROMOTION_PACKET_REQUIRED,REQUIRED,PROMOTION_BLOCK_FINAL_JUDGE_REQUIRED,PARK_FOR_FINAL_JUDGE,authority;Final Judge;commitment
CAP-001,CAPABILITY,registry lists MOVE_EXACT_FILE,CAPABILITY_CLAIM,REGISTRY_ONLY,MOVE_EXACT_FILE,GRANT_MISSING,JOB_ENVELOPE_REQUIRED,REQUIRED,GRANT_REQUIRED,BLOCK_EXECUTION,registry;grant chain;boundary
CAP-002,CAPABILITY,grant exists but no pocket,CAPABILITY_CLAIM,GRANT_ONLY,MOVE_EXACT_FILE,POCKET_MISSING,JOB_ENVELOPE_REQUIRED,REQUIRED,POWER_POCKET_REQUIRED,BLOCK_EXECUTION,grant chain;token;boundary
CAP-003,CAPABILITY,pocket exists but token stale,CAPABILITY_CLAIM,STALE_TOKEN,MOVE_EXACT_FILE,TOKEN_MISSING,JOB_ENVELOPE_REQUIRED,REQUIRED,TOKEN_REQUIRED,BLOCK_EXECUTION,token;monitor;lifecycle
CAP-004,CAPABILITY,PDP without PEP,CAPABILITY_CLAIM,POLICY_ONLY,WRITE_REPORT,PEP_MISSING,ENFORCEMENT_REQUIRED,REQUIRED,PEP_REQUIRED,BLOCK_EXECUTION,PDP/PEP;admission;boundary
CAP-005,CAPABILITY,return without receiver assay,RETURN_CLAIM,HELPER_RETURN_ONLY,READ_REPORT,RECEIVER_ASSAY_MISSING,RETURN_CONTRACT_PRESENT,MISSING,RETURN_NOT_ACCEPTED,BLOCK_ACCEPTANCE,receiver assay;sink;truth state
