Path,Kind,Status,Purpose,Source,ProofPointer,Boundary
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SOURCE_HANDOFFS/MULE_HANDOFF_UI_LANE_BIG_JOB_PHASE2_EXACT_SAVE_AND_BUILD_20260604.md,source handoff,routed source,Phase 2 source custody copy,root handoff,phase2 receipt,source not authority
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/COMMAND_GRAMMAR/UI_COMMAND_REGISTRY_V0_2_20260604.md,command registry,candidate,Defines UI command families aliases outputs proof needs and stop gates,phase2 handoff,phase2 manifest,not executable
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/UI_ACTION_RECIPE_LIBRARY_V0_2_20260604.md,recipe library,candidate,Defines manual-safe recipes with inputs files proof receipts and rollback,phase2 handoff,phase2 manifest,not automation
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_DASHBOARD_STATE_MODEL_V0_2_20260604.md,state model,candidate,Defines dashboard panels state lifecycle and proof guards,phase2 handoff,phase2 manifest,no UI code
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_FILE_OBJECT_INSPECTOR_SPEC_V0_2_20260604.md,inspector spec,candidate,Defines object custody hash proof and allowed action view,phase2 handoff,phase2 manifest,no raw dump default
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_PROOF_RECEIPT_VIEWER_SPEC_V0_2_20260604.md,receipt viewer spec,candidate,Defines compact proof and overclaim viewer,phase2 handoff,phase2 manifest,no proof inflation
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/ROOT_RESIDUE_ROUTE_ACTION_CARDS_V0_2_20260604.md,action cards,candidate,Defines root residue routing cards,phase2 handoff,phase2 manifest,no delete without custody
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/SAVE_GATE_ACTION_CARDS_V0_2_20260604.md,action cards,candidate,Defines exact-set save gate cards,phase2 handoff,phase2 manifest,no broad git add
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/BLOCKER_BURNDOWN_ACTION_CARDS_V0_2_20260604.md,action cards,candidate,Defines blocker burn-down cards,phase2 handoff,phase2 manifest,real stop/ask preserved
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_BIG_JOB_DATA_BUDGET_PROTOCOL_V0_1_20260604.md,protocol,candidate,Defines read-once and bounded data use,phase2 handoff,phase2 manifest,not a stop excuse
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_LANE_ACCEPTANCE_TEST_PLAN_V0_1_20260604.md,test plan,candidate,Defines static acceptance checks,phase2 handoff,phase2 manifest,no helper execution
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PATH_MAPS/UI_LANE_PATH_MAP_V0_2_20260604.csv,path map,proof support,Maps Phase 2 files to purpose and boundaries,phase2 handoff,phase2 receipt,not content dump
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/RECEIPTS/UI_LANE_PHASE2_BUILD_MANIFEST_20260604.csv,manifest,proof support,Lists Phase 2 created and updated artifact hashes,phase2 artifacts,phase2 receipt,not full diff
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/RECEIPTS/UI_LANE_PHASE2_ROLLBACK_MANIFEST_20260604.csv,rollback manifest,proof support,Records before hashes for modified files and deletion path for new files,phase2 artifacts,phase2 receipt,manual rollback only
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/RECEIPTS/UI_LANE_PHASE2_BUILD_RECEIPT_20260604.txt,receipt,proof support,Records Phase 2 result boundaries hashes and root/git status,phase2 artifacts,self,not doctrine
