source_file,line_span,lane,source_signal_summary,source_excerpt_short,house_use,risk_boundary
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,6-20,definition,Metacognition is framed as awareness of thinking plus ability to direct the mind.,"know, this is not some obscure academic thing. Metacognition is like um your awareness of your ability to think. Yeah, just stopped in to whip up a metacognition scanner. So, when something has pierced Rick and Morty it's uh yeah, it's it's getting big. So,...",Use as the front definition for self-representation/control.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,44-103,self_representation,Meta-knowledge is self-representational; cognition can refer to itself and map internal states.,"driver's seat by understanding them. What it requires is meta knowledge. And meta knowledge in some ways is self-representational. So, just like this sentence as I said has this sentence has 22 letters. It's a sentence that refers to its own attributes. It'...",Use for 'house represents itself' model.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,355-367,monitor_control,"Recognizing and controlling mental states is presented as the core function: focus, emotion, memory.","you're aware of your own mental state. Or if you're distracted. So, recognizing and controlling mental states is pretty much the whole game in life. And you can achieve anything if you can do that. So, metacognition is big fancy word for the higher processe...",Use as the simple operating loop: notice state -> choose control move.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,795-801,signal_not_proof,Feelings of knowing are explicitly said to be imperfect.,"then you will spend more time rummaging around. Yep. Is that feeling like is that always true, though? Not always. Okay, explain it more, and then the picture will kind of become clearer in my head. Yeah, yeah, yeah. So, we're not perfect,",Use to block confidence-as-proof.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,988-1011,evidence_discipline,"Scientific thinking is described as metacognitive: push feelings aside, build evidence, experiment, and admit not knowing.","to actually to ground them. So, we should have beliefs to the extent there's evidence. And so, science is about getting into a metacognitive state, pushing your feelings aside, and building up evidence for your ideas, making uh experiments, saying, ""We don'...",Use to connect proof discipline to metacognition.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,1261-1267,memory_palace,Method of loci / mental room is offered as a memory-control technique.,"way back in the day had this thing called the method of loci. There's ways of going from, you know, 5% memory to 95% memory. Where he said, ""Okay, so imagine you have a mental room. It can be your","Use carefully as analogy for house/path system, not doctrine.",candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,1612-1638,working_memory_to_procedure,"Meta-level symbols move into working memory, build procedural knowledge, and unlock abilities.","not some some some other form of This used to be green. Object level knowledge, meta level knowledge is still a symbol. These are still symbols. My language didn't change. It's a meta level different language. It moves into your working memory, and it direc...",Use for proceduralized clean move.,candidate only
Metacognition 1 understanding and controlling your mind_2026-05-27_15-18-36.txt,1684-1778,object_meta_procedure,Object-level instructions interact with procedural knowledge; meta-level instructions target the mind itself.,"you know, we have system one, just automatic dominoes just firing. Procedural knowledge is automatically firing outside of our awareness. And you can have system two, you can have knowledge come up from working memory. And this can be in the form of facts o...",Use to separate object task from process/state task.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,1-38,sequence_bridge,Humans self-represent instead of being half-awake/driven; mental models of mind unlock higher capacity.,﻿this is a process of humans starting to self-represent instead of just going about their cognitive processes you a half awake sleeping manner just them driving us we're starting to self-represent the way figures can self-represent as sort of a metaphor we ...,Use as sequence bridge from definition to system scale.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,114-120,monitoring,Monitoring is simplified to awareness of internal state.,abstract concept monitoring monitoring complex word you're just aware of it are you aware that you're awake in the morning are you aware that you want a coffee are you aware that an hour after a coffee you're,Use as anti-jargon simplification.,candidate only
