"row_id","source_term","source_line","source_class","source_risk","mapped_evidence","disposition_label","support_status","authority_boundary","proof_pointer","next_condition","return_trigger","rationale"
"UA-001","FAIL","41","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$Failures = New-Object System.Collections.Generic.List[string]","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L41","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-002","LOCK","50","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","[string]$BlockerStatus,","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L50","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-003","LOCK","64","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","BlockerStatus = $BlockerStatus","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L64","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-004","FAIL","123","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","if ($ExitCode -ne 0) { return ""[git status failed]"" }","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L123","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-005","SHA256","140","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$PointerSha256 = ""[not_read]""","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L140","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-006","FAIL","147","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","$Failures.Add(""BaseRoot not found: $BaseRoot"") | Out-Null","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L147","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-007","FAIL","151","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","$Failures.Add(""RepoRoot not found: $RepoRoot"") | Out-Null","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L151","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-008","FAIL","154","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","if ($Failures.Count -eq 0) {","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L154","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-009","LOCK","164","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-BlockerStatus ""WATCH"" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L164","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-010","LOCK","171","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-SecondReviewRequired ""NO unless the caller required exact head lock."" `","PARK_WITH_RETURN_TRIGGER","PARKED_MATERIAL","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L171","Return only when owner, proof, key, boundary, and return path are requested for this field.","Return when pointer-state ownership or completion provenance becomes the active object.","The mapped row describes pointer/completion/second-review material that should stay parked until its owner and return path are explicit."
