"ReviewPriority","SourceKind","Path","FieldOrClass","Message","PathClass","ReviewDisposition","RepairType","SHA256"
"2","ROOT_LAYER","HOUSE_WORK/CHAT_COCKPIT/REPAIR_WAVE_MATURITY_INTAKE_GATE_KEY_HASH_SUIT_CARD_V1_20260530.md","NOOP_COMMIT_TRUTH_REVIEW","No-op/commit truth risk appears without obvious no-commit guard.","key/hash/intake issue","confirmed next 50 repair candidates","ROOT_LAYER_DROP_DOWN","14D8DCAB79EBD2605823FCE46E13C8306D0D544AFEE9C71EA4EEEBF04D5278F8"
"3","ROOT_LAYER","BRAIN_LEARNING/LOWER_LAYER_SAVE_ROUTE_HARNESS_ROOT_REPAIR_RULE_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","A7DA45CF7BFDBE909F2D93F752F728639B6D22FA3BFA3FFC51D51041AC7D675A"
"3","ROOT_LAYER","BRAIN_LEARNING/REPAIR_WAVE_MATURITY_AND_INTAKE_GATE_KEY_HASH_RULE_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","key/hash/intake issue","confirmed next 50 repair candidates","ROOT_LAYER_DROP_DOWN","94D425054D967860DC3E739E49ED74D52759C87025EFE02D37F59CF2078605A3"
"3","ROOT_LAYER","HOUSE_WORK/CHAT_COCKPIT/LIVING_INTAKE_PROTOCOL_STACK_SOFT_SUIT_CARD_V1_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","key/hash/intake issue","confirmed next 50 repair candidates","ROOT_LAYER_DROP_DOWN","D7BDF150FE157F8AFFACFF7257EA31DF87DFE57C2F613180B557EBE57792F57B"
"3","ROOT_LAYER","HOUSE_WORK/TODO/LIVING_OBJECT_REGISTRY_V2_FIRST_WAVE_BOUNDED_REPAIR_TICKETS_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","EB5F59629D0A66C8DFB1F940E4F7CDEEFA6FFCB5678EC79368FC0032A00F0DDF"
"3","ROOT_LAYER","HOUSE_WORK/WORK_SHED/INDEXES/LOWER_LEVEL_ERROR_POWERPLAY_BREADCRUMB_CHAIN_LEDGER_V1_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","8868BD17D121764FBFF6BE0627B0675A64093D675D7FE1F437562F8D1F299815"
"3","ROOT_LAYER","HOUSE_WORK/WORK_SHED/INDEXES/MAX10_BATCH_SCALE_STEP_AUDIT_LEDGER_V1_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","6765949D013286866AE853E0F2C66A87CA2BE23F428A3537A570FEA6F7C999C2"
"3","ROOT_LAYER","HOUSE_WORK/WORK_SHED/INDEXES/TRIPLE_CHECK_BEFORE_RESEND_HARDENING_CHECKLIST_V1_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","15A5992819B403328E50765E157E33561135C649EA85124BFB0442C3606792BC"
"3","ROOT_LAYER","HOUSE_WORK/WORK_SHED/SORTING_BENCH/LIVING_OBJECT_REGISTRY_V2_FIRST_WAVE_REPAIR_PACKET_20260530/FIRST_WAVE_REPAIR_PACKET_SUMMARY.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","key/hash/intake issue","confirmed next 50 repair candidates","ROOT_LAYER_DROP_DOWN","C4F2C1474432AB38818CCF23A2B607FF505FF19B9253127556E9289ABE85AF3A"
"3","ROOT_LAYER","HOUSE_WORK/WORK_SHED/SORTING_BENCH/LOWER_LAYER_SAVE_ROUTE_HARNESS_V1_1_NESTED_ARRAY_CRIME_SCENE_20260530.md","POSSIBLE_SKIPPED_LOWER_ROOT_REVIEW","Issue mentions lower/root/tool failure language without clear upper/lower separation.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","A70BA64702ED101BBFE646602F7711B218C09B72ACFAA46A83FABD590DAF069E"
