"Path","Action","Purpose","Boundary","ShouldTrack"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/ONE_PAGE_REVIEW_MAP_20260603.md","create","Human front map for recursive flow and language wash","review only; no implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_RECURSIVE_FLOW_MAP_20260603.md","create","Recursive flow map and loop status","review only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_WORD_COLLISION_AND_LEXICON_WASH_20260603.md","create","Lexicon collision report","review only; no renames","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_GAP_LOOSE_END_GHOST_ROUTE_LEDGER_20260603.md","create","Gap, loose-end, stale-route, and ghost-route ledger","review only; no repair","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/WOLFRAM_PATHFINDING_RECURSIVE_FIT_REVIEW_20260603.md","create","Wolfram/pathfinding parked-lane fit review","review only; no source-fit execution","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/FAIRLIGHT_COMMAND_SURFACE_FIT_REVIEW_20260603.md","create","Fairlight parked-lane fit review","review only; no UI build","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_NEXT_ACTION_ORDER_RECOMMENDATION_20260603.md","create","Next action order recommendation","review only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_FINAL_VERDICT_20260603.md","create","Final verdict for washer review","review only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_20260603/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_FILE_MANIFEST_20260603.md","create","Human-readable file manifest","manifest only","yes"
"HOUSE_WORK/TODO/PROJECT_RECURSIVE_FLOW_WASH_NEXT_REVIEW_TODO_20260603.md","create","Next review TODO after washer save","TODO only; no implementation","yes"
"PROOF_HISTORY/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_MANIFEST_20260603.csv","create","Exact save manifest","manifest only","yes"
"PROOF_HISTORY/PROJECT_RECURSIVE_FLOW_AND_LANGUAGE_WASH_RECEIPT_20260603.txt","create","Receipt, hashes, proof, final sentinel","receipt only","yes"
