"Path","Action","Purpose","Boundary","ShouldTrack"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/ONE_PAGE_REVIEW_MAP_20260603.md","create","Human cockpit front map for candidate governance closeout","review only; not doctrine; no implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_SPEC_V0_1_20260603.md","create","Deduplicated candidate process spec assembled from mulenotes source","candidate process spec; not active rule; no implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_ADDENDUM_INDEX_20260603.md","create","Index of preserved rules/addendums/source anchors","index only; not doctrine","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_CHANGE_LEDGER_20260603.md","create","Deduplication and change ledger","ledger only; no source rewrite","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_OPEN_QUESTIONS_20260603.md","create","Open questions and return triggers","questions do not authorize action","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_PROOF_CHECKLIST_20260603.md","create","Proof checklist for save and future first use","proof checklist only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_FINAL_VERDICT_20260603.md","create","Final verdict and boundaries for candidate governance package","candidate verdict only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_FILE_MANIFEST_20260603.md","create","Human-readable file manifest for cockpit review","manifest only","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/CANDIDATE_GOVERNANCE_FIRST_USE_CASE_MULE_RETURN_REVIEW_20260603.md","create","First practical use case: mule return governance review","review design only; no mule execution","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/WOLFRAM_RULE30_SOURCE_FIT_TEST_PLAN_V0_20260603.md","create","Bounded source-fit test plan for Wolfram / Rule 30 lane","plan only; no source-fit execution","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_20260603/FAIRLIGHT_CMI_SOURCE_FIT_TEST_PLAN_V0_20260603.md","create","Bounded source-fit test plan for Fairlight CMI lane","plan only; no source-fit execution","yes"
"HOUSE_WORK/TODO/CANDIDATE_GOVERNANCE_NEXT_PROOF_TODO_20260603.md","create","Next legal proof TODO after save","TODO only; no implementation","yes"
"PROOF_HISTORY/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_MANIFEST_20260603.csv","create","Exact save manifest","manifest only","yes"
"PROOF_HISTORY/CANDIDATE_GOVERNANCE_AND_PROOF_LADDER_RECEIPT_20260603.txt","create","Receipt, hashes, final sentinel","receipt only","yes"
