SourceID,Source,URL,CleanExtraction,HouseUse,Status
WEB01,Diataxis documentation framework,https://diataxis.fr/,"Separate content by user need: tutorial, how-to, reference, explanation.","Do not make one note carry every job. Separate guide, proof, route, and explanation surfaces.",ADAPT
WEB02,Architecture Decision Records,https://adr.github.io/,"Capture a significant decision with rationale, tradeoffs, and consequences in a decision log.","Use decision records for promotions and major route choices instead of silently rewriting old truth.",ADAPT
WEB03,Google SRE Monitoring Distributed Systems,https://sre.google/sre-book/monitoring-distributed-systems/,"Monitoring should distinguish symptom from cause, keep alerts actionable, and avoid noisy complexity.","Signals should not become panic. Gate alarms need debugger routes, thresholds, and reset behavior.",ADAPT
WEB04,NIST SP 800-61 Rev. 3,https://csrc.nist.gov/pubs/sp/800/61/r3/final,"Incident response improves preparation, detection, response, and recovery through risk management.","Serious house failures should end as repaired, parked, blocked, escalated, or decayed with proof.",ADAPT
WEB05,W3C RDF 1.1 Concepts,https://www.w3.org/TR/rdf11-concepts/,"RDF uses subject-predicate-object triples in graphs to express relationships.","Use typed relation grammar: Gate checks Candidate; Proof supports Claim; Parking holds Signal.",ADAPT
WEB06,W3C SKOS,https://www.w3.org/2004/02/skos/specs,"SKOS models thesauri, taxonomies, controlled vocabularies, labels, notes, and concept relations.","Build a small controlled vocabulary for gate relationship types before adding new doctrine words.",ADAPT
WEB07,W3C PROV-DM,https://www.w3.org/TR/prov-dm/,"Provenance records entities, activities, agents, derivations, bundles, and collections for trust decisions.","Proof should say what made it, how it was made, who/what acted, and what it depends on.",ADAPT
WEB08,Christopher Alexander archive: A City is not a Tree,https://christopher-alexander-ces-archive.org/record/the-city-is-a-semi-lattice-but-not-a-tree-original-text-of-article-a-city-is-not-a-tree/,"Living complex systems fit semilattice-like overlapping relations better than simple trees.","Parent-child hierarchy alone is too stiff. Neighbors can overlap, but legal moves must stay typed.",ADAPT
WEB09,Team Topologies key concepts,https://teamtopologies.com/key-concepts,"Four team types and three interaction modes reduce ambiguous dependencies and cognitive load.","Gate neighbors need explicit modes: collaborate, service, or facilitate. Helpers must not become hidden bosses.",ADAPT
WEB10,Martin Fowler: Bounded Context,https://martinfowler.com/bliki/BoundedContext.html,"Large domains need bounded contexts with explicit interrelationships because one unified model becomes inconsistent.","Give each room/gate a bounded language. Shared words need a context tag before they become rules.",ADAPT
WEB11,EventStorming,https://www.eventstorming.com/,"Collaborative domain exploration exposes flow, inconsistencies, boundaries, and next actions.","Use event/source cards to reveal neighbor conflicts before naming a permanent object.",ADAPT
WEB12,Wardley Mapping value chain,https://www.wardleymaps.com/glossary/value-chain,"Start from user need, trace dependencies, include hidden components, and update as reality changes.","Route every wash from user value through visible and hidden dependencies before optimizing gates.",ADAPT
WEB13,Resilience Analysis Grid,https://resilienceengineeringinstitute.org/resilience-analysis-grid/,"Resilient performance needs the ability to respond, monitor, anticipate, and learn.","The house needs four abilities, not only proof: feel signal, route response, forecast risk, learn residue.",ADAPT
WEB14,Ashby requisite variety index,https://www.ashby.info/journal/index/thumbs/requisite.html,"Regulation requires enough variety/information to match the disturbances being regulated.","Do not over-compress gates until they cannot handle real input variety. Keep enough response shapes.",ADAPT
WEB15,Metaphorum: Viable System Model,https://metaphorum.org/staffords-work/viable-system-model,"Viable systems have autonomous operations plus coordination, synergy/control, intelligence, and policy/identity functions.","Map gates as operations plus metasystem roles: coordinate neighbors, audit proof, scan outside, hold identity.",ADAPT
WEB16,Stewart Brand pace layering,https://jods.mitpress.mit.edu/pub/issue3-brand/release/2,"Fast layers learn and propose; slow layers remember, stabilize, and constrain.","External sources and creative geometry are fast layers. Active guides are slow layers. Respect pace.",ADAPT
WEB17,Donella Meadows leverage points,https://donellameadows.org/archives/leverage-points-places-to-intervene-in-a-system/,"High leverage comes from information flows, rules, self-organization, goals, and paradigms, not only parameter tweaks.","Early identity is a high-level system behavior. Fix it with a small orientation habit, not many parameters.",ADAPT
WEB18,Cynefin domains,https://cynefin.io/wiki/Cynefin_Domains,"There are few context-free solutions; domain and liminal state determine the right practice.","Unclear signals should stay in hold/probe space before being forced into Clear rules.",ADAPT
WEB19,Cockburn Ports and Adapters,https://alistair.cockburn.us/hexagonal-architecture,"Keep inside logic separate from outside devices through purposeful ports and adapters.","Research, tools, helpers, mules, and symbolic maps are adapters; they do not enter authority by proximity.",ADAPT
WEB20,RFC 3439 simplicity principle,https://www.rfc-editor.org/rfc/rfc3439,"Complexity impedes scaling; strive for simplest possible solutions; added robustness can create fragility.","Doctrine wash must remain a thin flow enhancer, not a heavier stage.",ADAPT
WEB21,Lean Thinking and Practice,https://www.lean.org/lexicon-terms/lean-thinking-and-practice/,"Specify value, clarify process/value stream, and remove non-value load.","Clean by placement first: value -> lane -> proof -> thin route -> next state.",ADAPT
WEB22,Britannica atom energy levels and shells,https://www.britannica.com/science/atom/Orbits-and-energy-levels,"Electrons occupy allowed energy levels/shells; outer valence behavior shapes interaction; literal model has limits.","Use atom only as metaphor: authority nucleus, ring distance, promotion energy, valence neighbors.",PARK_AS_METAPHOR
WEB23,USMC decision-making OODA/Boyd Cycle,https://www.trngcmd.marines.mil/Portals/207/Docs/TBS/B2B0237XQ%20Decision%20Making.pdf?ver=2017-01-27-145646-543,"Observe, orient, decide, act is feedback-rich; orientation gives meaning and quality to decisions.","Hold Signal Before Shape is an orientation correction before decide/action.",ADAPT
