"ConceptId","Theme","UseHorizon","SignalText","SignalCount","SourceFileCount","SampleSources"
"CONCEPT-05905","PROOF_CUSTODY","NEXT_WORK","Evidence: Detected Set-Content/Add-Content/Out-File/New-Item.","339","339","_MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193549_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193946_SAVE_POWERSHELL_CODE_GATE_RULE_V1.0.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195059_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195640_CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195738_REPAIR_LOCAL_CODE_WORKBENCH_CONTEXT_TOOL_V0.1.ps1.md"
"CONCEPT-07920","SAVE_LOCK_GIT","NEXT_WORK","It did not stage, commit, push, delete, or move root files by itself.","296","296","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FAKE_DELETE_FIXTURE.ps1.md"
"CONCEPT-33183","SAVE_LOCK_GIT","NEXT_WORK","It blocks Git-write, delete, move/rename, and direct network scripts unless explicit allow switches are used.","295","295","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191645_FAKE_GIT_WRITE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FAKE_DELETE_FIXTURE.ps1.md"
"CONCEPT-12883","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Boundary","172","172","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__POWERSHELL_OPERATOR_BINDING_GUARD_V1.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_FIRST_LIVE_USE_V1_2_20260530_093533.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_FIRST_LIVE_USE_V1_2_20260530_093540.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1_2_20260530_092451.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1_20260530_092145.md"
"CONCEPT-31321","PROOF_CUSTODY","NEXT_WORK","Evidence: Matched: return @(","168","168","_MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195059_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195640_CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195744_CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_203802_RUN_RULE_EXPANSION_LOGIC_GATE_V0.1.ps1.md; _MISC_DRAWER/EVIDENCE_FREEZE/CODE_GATE_AUDIT_COUNT_CROSSCHECK_20260528_005042/reports/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_204137_RUN_RULE_EXPANSION_ROPE_GATE_V0.3.ps1.md"
"CONCEPT-23852","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Final verdict","159","159","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_POST_SAVE_CHECK_V1.0_20260527_194251.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_REPORT_V1.0_20260527_190459_CHECK_MISC_DRAWER_POST_SAVE_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_REPORT_V1.0_20260527_190626_CHECK_MISC_DRAWER_POST_SAVE_V1.3.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md"
"CONCEPT-24410","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Syntax verdict","149","149","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_REPORT_V1.0_20260527_190459_CHECK_MISC_DRAWER_POST_SAVE_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_REPORT_V1.0_20260527_190626_CHECK_MISC_DRAWER_POST_SAVE_V1.3.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md"
"CONCEPT-15779","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Run verdict","147","147","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FAKE_DELETE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FALSE_PASS_FIXTURE.ps1.md"
"CONCEPT-08722","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Warnings","146","146","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FAKE_DELETE_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FALSE_PASS_FIXTURE.ps1.md"
"CONCEPT-14280","TOOLS_HARNESS_RUNNERS","NEXT_WORK","### Local file write command","128","128","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191647_CHECK_MISC_DRAWER_POST_SAVE_V1.3.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192337_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192338_READ_ONLY_REPORT_FIXTURE.ps1.md"
