Theme,ConceptCaptureEvidence,MirrorsCurrentFile,CurrentStatus,CarryDecision,NextAction
PROOF_CUSTODY,"17637 unique concepts; 2687 use-now","BRAIN_LEARNING/HELPER_PROOF_SURFACE_CLASS_BEFORE_PAIR_STRENGTH_RULE_20260531.md","Aligned with support-vs-approval distinction","Carry now","Keep proof-surface classification in all receipt-pairing helpers"
HOUSE_ROUTING_ROOMS,"5291 unique concepts; 1239 use-now","HOUSE_WORK/WORK_SHED/INDEXES/LIVING_SYSTEM_FRONT_DOOR_LEDGER_V1_4_20260530.md","Aligned with front-door first routing","Carry now","Use Front Door as entry, not whole-house load"
SOURCE_INTAKE_RESEARCH,"3337 unique concepts; 593 use-now","BRAIN_LEARNING/INTAKE_GATE_SYSTEM_CONCEPT_CARD_V1_20260530.md","Aligned as source-to-house intake support","Carry when source conversion is active","Keep source ore separate from adopted rules"
KEY_LEDGER_MAP_REGISTRY,"3239 unique concepts; 608 use-now","HOUSE_WORK/WORK_SHED/INDEXES/LIVING_SYSTEM_CHAT_SOURCE_URL_LEDGER_MAP_KEY_V1_5_20260530.md","Aligned with URL/LEDGER/MAP/KEY compression","Carry now","Keep one key, one map, one next condition"
SAVE_LOCK_GIT,"3041 unique concepts; 528 use-now","BRAIN_LEARNING/LOCK_SAVE_OR_PARK_NEW_TOOLS_RULE_CARD_20260531.md","Aligned as disposition rule candidate","Carry now","Lock/save, park, test, reject, merge, or wait; do not leave loose chat tools"
TOOLS_HARNESS_RUNNERS,"2241 unique concepts; 501 use-now","HOUSE_WORK/WORK_SHED/GEAR_RACK/RUN_CLAIM_CAPABILITY_BRIDGE_HARNESS_V1_20260531.ps1","Aligned with first harness pass","Carry as candidate support","Use runners for proof, not authority promotion"
SHAPE_GATE_CONTRACT,"1218 unique concepts; 275 use-now","BRAIN_LEARNING/GENERATED_HELPER_SHAPE_CONTRACT_GATE_RULE_20260531.md","Aligned with generated-helper lower-layer fixes","Carry now","Require shape, zero-row, stem, and no-hidden-write checks"
HELPER_GROWTH,"1064 unique concepts; 190 use-now","BRAIN_LEARNING/HELPER_CAPABILITY_SYSTEM_V2_3_CANDIDATE_POINTER_20260531.md","Partly aligned; local pack remains untested candidate support","Carry as support only","Run first fixture before treating local pack as stronger"
CLAIM_CAPABILITY,"759 unique concepts; 97 use-now","HOUSE_WORK/WORK_SHED/INDEXES/CLAIM_CAPABILITY_BRIDGE_HARNESS_ROUTE_INDEX_20260531.md","Aligned as current hinge","Carry now","Build Front Door wiring layer next"
CHAT_HANDOFF_CONTEXT,"452 unique concepts; 147 use-now","BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md","Aligned with compressed carry rules","Carry when handoff is active","Carry one object, pointer, next condition"
AUTHORITY_BOUNDARY,"421 unique concepts; 118 use-now","BRAIN_LEARNING/KNOW_DONT_THINK_LOWER_LAYER_DIAGNOSIS_RULE_20260531.md","Aligned with proof-before-descent and no-promotion boundaries","Carry now","Prove exact failure coordinate before lower-layer repair"
FUTURE_IDEA_PARKING,"199 unique concepts; 26 use-now","CURRENT_GAME_PLAN_BOARD_20260531.md","Aligned by parked section","Carry as board only","Move future wants only when return trigger fires"
ROOT_CLEANOUT_CUSTODY,"43 unique concepts; 12 use-now","_LOCAL_CUSTODY_AND_RECEIPTS/ROOT_CLEAR_20260531_20260531_083030/","Aligned; root is clean","Carry as proof state","Keep root empty except system files"
SOFTSUIT_EDWARD_METHOD,"25 unique concepts; 4 use-now","BRAIN_LEARNING/EDWARD_ALL_ROOM_TRIPLE_PATHFINDING_SOFT_SUIT_CANDIDATE_20260530.md","Aligned as support lens, not authority","Carry only when route fog appears","Use as pathfinding lens after Front Door entry"
