id,raw_idea,source,type,broadened_forms,priority_score,why_it_matters,neighbor,state,return_trigger,digest_result,proof_need,bell_need,decision
RPC-001,"Mode decides order; RECESS harvests before digest","New RECESS package","WORKFLOW / MODE_LOCK","mode lock; active issue freeze; harvest; broaden; prioritize; digest; return home",760,"Prevents early compression failure across idea bursts and dense source work","Router / Source-Link / Final Judge","DIGESTED_TO_RULE_CANDIDATE","Next Soft Suit map candidate after path/home decision","Compact RECESS gate candidate","Compare against current map and ledger; no CURRENT write","Bell if READY candidate is later created","DRESSING_ROOM_CANDIDATE"
RPC-002,"Priority before parking; parking is a queue","New RECESS package + old candidate ledger","WORKFLOW / PRIORITY","parking; TODO; issue review; set aside; return trigger; owner; score",740,"Stops passive later/dead parking and keeps overflow useful","Idea Ledger / Issue Review / Return Home","DIGESTED_TO_RULE_CANDIDATE","Repeated parking/backlog confusion or next ledger update","Priority TODO schema","Ledger row includes state owner priority trigger proof","Bell when user action or backlog threshold appears","DRESSING_ROOM_CANDIDATE"
RPC-003,"Use Black Hole Digest after harvest, broadening, and priority","New RECESS package + old clean-bloat harvest","WORKFLOW / DIGEST","absorb; dedupe; cluster; rank; compress; name; route; archive; return",535,"Condenses clean bloat without destroying source","Clean Bloat / Source-Link / Custody","DIGESTED_TO_RULE_CANDIDATE","Next dense idea burst or old-chip recovery run","Named digest stage merged with old dense harvest","Source list and output routing proof","Bell if bloat tries to become active law","DRESSING_ROOM_CANDIDATE"
RPC-004,"Soft Suit Dressing Room before current-facing change","New RECESS package + current authority map","BOUNDARY / PROMOTION","try-on; before/after; neighbor effects; risk; proof; READY; CURRENT verify",910,"Protects Soft Suit surfaces from direct writes and bloat","READY / CURRENT / Current Verify","PRIORITY_NOW","Any Soft Suit map or ledger candidate","Trial card gate before READY or CURRENT-facing change","Dressing room card, diff, hash, no-CURRENT proof","Bell when READY differs from CURRENT","DRESSING_ROOM_CANDIDATE"
RPC-005,"Path/home clarity comes first","Old run blocker + new package known facts","BOUNDARY / USER_DECISION","Desktop GPT_Prompts; Desktop/123 GPT_Prompts; accepted home; normalization",915,"All route and READY/CURRENT claims depend on accepted home","Front Door / Current Verify / Bell","WAITING_FOR_USER","User accepts actual home or asks path normalization","User-decision bell, not a map edit yet","Test-Path and current hash read-only","Bell required","USER_DECISION_BELL"
RPC-006,"Broadening gate before compression","New package + old word broadening report","WORKFLOW / BROADENING","aliases; opposite; actor-action-object; lane; failure; bypass; compression",635,"Blocks synonym bypass and same-looking wrong-lane moves","Router / Proof / Parking","DIGESTED_TO_RULE_CANDIDATE","Next rule/prompt dense idea work","Merge with old broadening report","Before/after candidate behavior review","Bell only if broadening reveals user decision","DRESSING_ROOM_CANDIDATE"
RPC-007,"Set aside not throw away","New package + custody preservation","CUSTODY / PRIORITY_TODO","state; owner; priority; reason not active; return trigger; source preserved",700,"Keeps not-needed-now ideas recoverable and accountable","Custody / Issue Review / Mule Review","DIGESTED_TO_RULE_CANDIDATE","Any parked or blocked idea","Set-aside ledger rows","Source path and state proof","Bell for user-owned return trigger","MERGE"
RPC-008,"Bitstrings for readiness","New package + old algorithm matrix","PROOF / FINAL_JUDGE","object bits; process bits; closure bits",360,"Good compact proof helper but not needed in full active map","Proof / Final Judge","PRIORITY_LATER","When proof language is ambiguous or candidate readiness must be shown","Use in reports, not heavy active rule","Filled bitstring or reason missing","No bell unless user action bit is missing","PARK"
RPC-009,"Same-shape after-walk","Old support mirror + new smart order","VERIFY / REVIEW","baseline; after; added-after-baseline; same comparison contract",540,"Prevents changed checks from pretending to be proof","Smoke Break / Stop-Fix / Final Judge","DIGESTED_TO_RULE_CANDIDATE","After candidate/report creation","After-walk report","Before/after state readback","Bell if blocker remains user-owned","MERGE"
RPC-010,"Root package source handling","Dropped root package + front-door rule","FRONT_DOOR / CUSTODY","read; hash; link; optional move/copy; no delete",410,"Root now has a loose source drop, so old root-clean fact is stale","Front Gate / Source Work Orders","PRIORITY_TODO","User asks cleanup or run-folder source colocation","Keep pointer now; move/copy only if authorized","Hash and receipt if moved/copied","Bell if cleanup desired","PRIORITY_TODO"

