PatternKey,SourcePath,WhatWorked,WhatFailed,WhyItMatters,RoutineUse,Boundary
PAT-001,"C:/Users/13527/Desktop/123/_MISC_DRAWER/READ_REPORTS/INTAKE_GATE_KEY_HASH_JOIN_AUDIT_REPORT_20260531_201227.md","Newer intake protocol files passed when key/hash/receipt/route/boundary/return/currentness were visible.","Older history/proof/prompt-custody surfaces often lacked obvious keying, hash, return, or route joins.","The house already knows the right shape; the shape is not evenly mirrored.","Use the pass files as pattern donors and the blocker-adjacent rows as repair queue, not as emergency sweep.","Audit report is read/report only; not cleanup authority."
PAT-002,"BRAIN_LEARNING/SOURCE_TO_HOUSE_INTAKE_V2_MECHANISM_EXTRACTION_REPORT_20260528.md","ADOPT/ADAPT/PROOF_PARK split preserved value while avoiding raw source carry.","Saving every useful idea would create bloat and false authority.","Useful source must become role-labeled candidate material with one next proof route.","Each routine pass chooses one mechanism and one proof-selection route.","Candidate extraction is not promotion."
PAT-003,"BRAIN_LEARNING/RULE_APPLICATION_GATE_POWER_PLAY_20260518.md","Pattern transfer works when the assistant copies the clean concept, not the words.","Rules existed but did not fire at the decision point.","A saved rule that does not fire is passive furniture.","Routine must ask which rule/gate should fire before save or route changes.","Do not scatter-fix neighboring files without proof."
PAT-004,"BRAIN_LEARNING/SAVE_TO_SAVE_CONTEXT_WEIGHT_RULE_20260518.md","Saved hash points can compress live memory into current hash, receipt, active ball, next move, blocked moves, and open items.","Proof history stayed live after save and made the room heavy.","History should remain retrievable without becoming the live task.","Routine leaves compact pointers and drops old detail to retrieval-on-demand.","No evidence deletion."
PAT-005,"BRAIN_LEARNING/SWIFT_SCAN_LIVING_SYSTEM_V1_20260530.md","One active object, one pointer, and one next condition reduce evidence saturation.","More proof rows and bigger scans can replace judgment.","Clean movement needs WIP limit and currentness check.","Routine starts with one selected object and stops after one next action.","Swift Scan is support behavior, not doctrine."
PAT-006,"BRAIN_LEARNING/HELPER_GROWTH_REPORT_QUALITY_GATE_RULE_20260530.md","Helper reports improved when they named who/what/when/why/proof/boundary/stop/handoff/reopen.","Helper growth reports could claim clean close while missing route evidence.","Helper files must make their usefulness assayable.","Routine requires helper output contract before acceptance.","Helper is not judge."
PAT-007,"BRAIN_LEARNING/GENERATED_HELPER_SHAPE_CONTRACT_GATE_RULE_20260531.md","Lower-layer helper failures became a scar family with shape-contract guards.","Line-by-line fixes hid recurring PowerShell/report-writer shape failures.","Do not judge upper project concepts by lower-layer helper/tool failures.","Routine separates upper object verdict from lower-layer repair packet.","Does not authorize broad helper rewrite."
PAT-008,"HOUSE_WORK/SYSTEM_ALIGNMENT_ROOM/ROOT_SOURCE_INTAKE_AND_HASH_TUNNEL_20260531/README.md","Root material became visible through staging, tunnel, arbitration, negative-evidence, and return-trigger ledgers.","Root drops had been useful but buried or easy to misread as cleanup authority.","Root/source ore needs custody without destructive movement.","Routine uses root support room as example of visible parking with hash/key/map.","No root delete, move, or doctrine adoption."
PAT-009,"HOUSE_WORK/TOOLS/Invoke-DailyHouseWalkDigestGate.ps1","Inspection-only gate gives current-state timing and repo-status signal.","A due digest can become another work thread if run during dirty active work.","Routine must avoid mixing independent save threads into a dirty active pass.","Park due digest as separate action unless selected; use its signal as context.","No timer, watcher, or automatic run."
PAT-010,"BRAIN_LEARNING/LIVING_INTAKE_PROTOCOL_STACK_V4_TRUE_PATHING_CANDIDATE_20260530.md","Protocol-stack model correctly separates contact, identity, type, authority, transformation, join, flow, trace, helper assay, and decision.","Without three-bite proof, a strong concept can overclaim readiness.","The model is right, but proof status must stay candidate.","Routine uses protocol layers as silent checks and runs three-bite proof next.","Not doctrine; no broad refactor."
